model_family,model_variant,context,split,rag_mode,use_rag,seed,run_id,value,f1,gold_support,pred_support,gold_rate,pred_rate,source_file
deberta,microsoft/deberta-v3-base,doc,test,none,False,1701.0,,Security: societal,0.4271844660194175,1151.0,1939.0,0.07900336330564899,0.13309080925252248,results/logs/deberta_doc_no_rag_seed1701_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,1701.0,,Tradition,0.43879907621247116,196.0,237.0,0.01345322259592285,0.016267417118539365,results/logs/deberta_doc_no_rag_seed1701_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,1701.0,,Conformity: rules,0.44251405212059275,911.0,1046.0,0.06253002951472304,0.07179627977211889,results/logs/deberta_doc_no_rag_seed1701_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,1701.0,,Conformity: interpersonal,0.12288135593220338,195.0,277.0,0.013384583705127325,0.019012972750360353,results/logs/deberta_doc_no_rag_seed1701_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,1701.0,,Humility,0.05714285714285715,30.0,5.0,0.0020591667238657424,0.00034319445397762373,results/logs/deberta_doc_no_rag_seed1701_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,1701.0,,Benevolence: caring,0.2574772431729519,324.0,445.0,0.022239000617750016,0.03054430640400851,results/logs/deberta_doc_no_rag_seed1701_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,1701.0,,Benevolence: dependability,0.2838283828382838,288.0,318.0,0.019768000549111125,0.02182716727297687,results/logs/deberta_doc_no_rag_seed1701_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,1701.0,,Universalism: concern,0.38025751072961367,735.0,1595.0,0.05044958473471069,0.10947903081886197,results/logs/deberta_doc_no_rag_seed1701_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,1701.0,,Universalism: nature,0.549828178694158,293.0,289.0,0.02011119500308875,0.019836639439906652,results/logs/deberta_doc_no_rag_seed1701_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,1701.0,,Universalism: tolerance,0.25824175824175827,171.0,193.0,0.011737250326034732,0.013247305923536276,results/logs/deberta_doc_no_rag_seed1701_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,42.0,,Self-direction: thought,0.021164021164021163,171.0,18.0,0.011737250326034732,0.0012355000343194453,results/logs/deberta_doc_no_rag_seed42_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,42.0,,Self-direction: action,0.1531176006314128,512.0,755.0,0.03514311208730867,0.051822362550621184,results/logs/deberta_doc_no_rag_seed42_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,42.0,,Stimulation,0.2672064777327935,371.0,370.0,0.02546502848513968,0.025396389594344156,results/logs/deberta_doc_no_rag_seed42_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,42.0,,Hedonism,0.2317880794701987,125.0,177.0,0.008579861349440594,0.01214908367080788,results/logs/deberta_doc_no_rag_seed42_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,42.0,,Achievement,0.36149732620320857,911.0,959.0,0.06253002951472304,0.06582469627290823,results/logs/deberta_doc_no_rag_seed42_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,42.0,,Power: dominance,0.32113037893384716,631.0,926.0,0.04331114009197611,0.06355961287665592,results/logs/deberta_doc_no_rag_seed42_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,42.0,,Power: resources,0.41100000000000003,805.0,1195.0,0.05525430709039742,0.08202347450065207,results/logs/deberta_doc_no_rag_seed42_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,42.0,,Face,0.1879699248120301,267.0,265.0,0.018326583842405108,0.018189306060814057,results/logs/deberta_doc_no_rag_seed42_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,42.0,,Security: personal,0.3004784688995215,352.0,693.0,0.02416088956002471,0.047566751321298645,results/logs/deberta_doc_no_rag_seed42_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,42.0,,Security: societal,0.4231041814316088,1151.0,1671.0,0.07900336330564899,0.11469558651932185,results/logs/deberta_doc_no_rag_seed42_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,42.0,,Tradition,0.40646651270207856,196.0,237.0,0.01345322259592285,0.016267417118539365,results/logs/deberta_doc_no_rag_seed42_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,42.0,,Conformity: rules,0.40867389491242706,911.0,1487.0,0.06253002951472304,0.1020660306129453,results/logs/deberta_doc_no_rag_seed42_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,42.0,,Conformity: interpersonal,0.14414414414414412,195.0,249.0,0.013384583705127325,0.01709108380808566,results/logs/deberta_doc_no_rag_seed42_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,42.0,,Humility,0.0,30.0,0.0,0.0020591667238657424,0.0,results/logs/deberta_doc_no_rag_seed42_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,42.0,,Benevolence: caring,0.23538704581358608,324.0,942.0,0.022239000617750016,0.0646578351293843,results/logs/deberta_doc_no_rag_seed42_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,42.0,,Benevolence: dependability,0.2503097893432466,288.0,519.0,0.019768000549111125,0.03562358432287734,results/logs/deberta_doc_no_rag_seed42_deberta-v3-large_test_metrics.json
